title,0,1,2,3,4,5,6,7,8,9
The Shawshank Redemption,34.0,28.0,8.0,12.0,50.0,0.81912434,0.8182012,0.81262195,0.81262195,0.81196874
The Godfather,40.0,5.0,198.0,26.0,89.0,0.86396104,0.8533033,0.8357353,0.8340453,0.83249104
The Dark Knight,125.0,59.0,38.0,154.0,36.0,0.9831174,0.9128396,0.87940204,0.87813926,0.8749045
The Lord of the Rings: The Return of the King,8.0,12.0,34.0,54.0,96.0,1.0354966,1.0354966,0.9367938,0.912353,0.88908494
Schindler's List,230.0,68.0,172.0,58.0,145.0,0.9251975,0.9199983,0.9156595,0.9155128,0.9130086
The Godfather Part II,1.0,85.0,55.0,79.0,14.0,0.8533033,0.84700835,0.8395854,0.8258126,0.8251418
12 Angry Men,45.0,82.0,154.0,79.0,178.0,0.80633354,0.8037954,0.8020277,0.80064553,0.79741997
Pulp Fiction,26.0,79.0,82.0,154.0,198.0,0.82960427,0.8246733,0.82354766,0.81916565,0.81760144
The Lord of the Rings: The Fellowship of the Ring,12.0,3.0,34.0,54.0,172.0,1.100281,1.0354966,0.94287175,0.9245937,0.92313397
Fight Club,21.0,219.0,172.0,43.0,4.0,0.87493265,0.8421202,0.83727264,0.8361622,0.8226889
Inception,60.0,18.0,64.0,34.0,156.0,0.84964347,0.83863765,0.8319599,0.8236648,0.8216963
Forrest Gump,43.0,188.0,224.0,149.0,51.0,0.90278506,0.89920914,0.89525294,0.8914509,0.89108324
The Lord of the Rings: The Two Towers,8.0,3.0,34.0,54.0,172.0,1.100281,1.0354966,0.94287175,0.9245937,0.92313397
"The Good, the Bad and the Ugly",156.0,35.0,152.0,228.0,34.0,0.8074149,0.79169494,0.7901137,0.7873239,0.78676975
Goodfellas,144.0,178.0,171.0,69.0,55.0,0.92135733,0.8886688,0.87824994,0.8755591,0.86972344
The Matrix,174.0,62.0,172.0,195.0,141.0,0.8870667,0.88308287,0.87418354,0.8726989,0.8570103
One Flew Over the Cuckoo's Nest,172.0,69.0,43.0,110.0,68.0,0.8256282,0.8152266,0.8151876,0.8150079,0.81486017
Star Wars: Episode V - The Empire Strikes Back,95.0,23.0,114.0,34.0,53.0,0.9108093,0.90766746,0.86054397,0.8430877,0.8330768
Interstellar,156.0,36.0,10.0,12.0,8.0,0.8400381,0.8387613,0.83863765,0.83328354,0.83328354
The Silence of the Lambs,55.0,218.0,32.0,188.0,72.0,0.87724406,0.8556957,0.8534198,0.85150206,0.85045314
Saving Private Ryan,219.0,43.0,11.0,171.0,225.0,0.8878852,0.87831277,0.87213534,0.86922807,0.8621973
Se7en,198.0,166.0,154.0,79.0,9.0,0.8837789,0.8828941,0.88208157,0.8796398,0.87493265
The Green Mile,171.0,55.0,28.0,26.0,82.0,0.8651388,0.8609376,0.8567965,0.8537609,0.8526371
Star Wars,95.0,17.0,114.0,53.0,54.0,0.92284137,0.90766746,0.8917831,0.8485414,0.84609324
Terminator 2: Judgment Day,184.0,64.0,174.0,60.0,15.0,0.89612275,0.82733685,0.81846786,0.8108778,0.8084701
Spirited Away,131.0,70.0,193.0,103.0,28.0,0.82938194,0.82935345,0.8134802,0.81247705,0.8111216
City of God,125.0,82.0,2.0,154.0,79.0,0.8783574,0.87511045,0.8747649,0.87130725,0.8695739
Life Is Beautiful,52.0,51.0,226.0,43.0,106.0,0.8946811,0.89264137,0.8800113,0.8730978,0.87212956
It's a Wonderful Life,226.0,196.0,67.0,8.0,12.0,0.90928364,0.8926303,0.8802172,0.879748,0.879748
Seven Samurai,158.0,151.0,104.0,154.0,12.0,0.9332157,0.9057197,0.8991817,0.898799,0.89803404
Harakiri,62.0,172.0,34.0,151.0,8.0,0.9353993,0.8801865,0.87895834,0.8761315,0.8741604
Parasite,72.0,188.0,198.0,158.0,55.0,0.8362836,0.82446665,0.82114613,0.81213564,0.81210405
The Departed,55.0,19.0,154.0,120.0,171.0,0.85835797,0.8534198,0.8524859,0.84765214,0.8451503
Whiplash,69.0,225.0,72.0,51.0,11.0,0.85365796,0.84294134,0.8417176,0.8397301,0.83307886
Gladiator,8.0,12.0,3.0,54.0,172.0,0.94287175,0.94287175,0.9367938,0.92013526,0.9104456
Back to the Future,87.0,193.0,60.0,103.0,176.0,0.8839483,0.87421507,0.86815435,0.85966086,0.85637546
The Prestige,125.0,2.0,166.0,62.0,59.0,0.87595516,0.8749045,0.8649103,0.8646279,0.85760295
Alien,174.0,129.0,36.0,87.0,193.0,0.8278403,0.8185003,0.7804277,0.7785202,0.7776385
Léon: The Professional,125.0,2.0,62.0,172.0,30.0,0.8912534,0.87940204,0.87131387,0.8666123,0.858869
The Lion King,34.0,12.0,8.0,54.0,193.0,0.8725607,0.86643267,0.86643267,0.86294174,0.85732055
Apocalypse Now,219.0,43.0,93.0,1.0,21.0,0.8738086,0.86587447,0.86539567,0.86396104,0.863317
Psycho,105.0,49.0,72.0,65.0,149.0,0.8484253,0.8387491,0.8250507,0.8116051,0.80882037
The Usual Suspects,154.0,198.0,137.0,166.0,79.0,0.9019583,0.8902897,0.8864772,0.8793495,0.87780935
Casablanca,219.0,135.0,51.0,225.0,11.0,0.9276823,0.91891086,0.91277367,0.9103267,0.90278506
The Pianist,69.0,172.0,4.0,196.0,68.0,0.89929736,0.8687469,0.8618844,0.85746896,0.8488117
American History X,42.0,154.0,79.0,198.0,166.0,0.8702261,0.8582891,0.8559852,0.85592955,0.854176
The Intouchables,69.0,196.0,172.0,68.0,230.0,0.8825588,0.87755597,0.86689186,0.86402255,0.8555074
Once Upon a Time in the West,156.0,152.0,228.0,223.0,62.0,0.78208226,0.7688112,0.7644245,0.76317006,0.76271856
Grave of the Fireflies,225.0,219.0,43.0,228.0,34.0,0.87840575,0.87182176,0.8681255,0.865646,0.8614761
Rear Window,105.0,157.0,65.0,41.0,72.0,0.9090533,0.8628267,0.85347533,0.8387491,0.83456457
Cinema Paradiso,43.0,219.0,52.0,11.0,224.0,0.8926887,0.87952477,0.8794412,0.879166,0.8757776
Modern Times,52.0,43.0,226.0,27.0,11.0,0.991182,0.91277367,0.89637554,0.89264137,0.89108324
City Lights,51.0,27.0,43.0,50.0,11.0,0.991182,0.8946811,0.88608605,0.8794412,0.8792323
Raiders of the Lost Ark,122.0,95.0,54.0,23.0,156.0,0.871268,0.8567225,0.85356116,0.8485414,0.84710425
Avengers: Endgame,60.0,12.0,8.0,34.0,3.0,0.98971057,0.9245937,0.9245937,0.92013526,0.912353
Joker,188.0,19.0,72.0,14.0,91.0,0.8798817,0.87724406,0.87248677,0.86972344,0.8678247
American Beauty,119.0,172.0,154.0,110.0,42.0,0.80721617,0.8004496,0.79953927,0.7980129,0.7966522
Django Unchained,225.0,219.0,156.0,228.0,83.0,0.83487105,0.8279339,0.8263362,0.8126385,0.8122318
Braveheart,4.0,230.0,173.0,68.0,222.0,0.9155128,0.8945162,0.89340526,0.8874335,0.8780138
The Dark Knight Rises,125.0,2.0,143.0,158.0,62.0,0.92386377,0.9128396,0.8995511,0.88540965,0.8838967
Avengers: Infinity War,54.0,87.0,174.0,34.0,35.0,0.98971057,0.88183385,0.8792891,0.8720358,0.86815435
The Shining,93.0,77.0,72.0,219.0,51.0,0.85742784,0.8360735,0.8327366,0.8304144,0.8284746
Oldboy,30.0,172.0,188.0,34.0,174.0,0.9353993,0.9203652,0.90410787,0.9026654,0.90055543
Spider-Man: Into the Spider-Verse,34.0,8.0,12.0,193.0,54.0,0.89526236,0.88107455,0.88107455,0.88044983,0.8727507
Aliens,34.0,60.0,195.0,15.0,174.0,0.8642404,0.86296785,0.84829235,0.8466797,0.83590835
Memento,105.0,49.0,62.0,123.0,142.0,0.8609356,0.85347533,0.8427944,0.84279424,0.8390843
Coco,103.0,193.0,97.0,181.0,63.0,0.8869366,0.8822167,0.86695313,0.8421215,0.84140855
Your Name.,28.0,172.0,68.0,51.0,62.0,0.8802172,0.8528512,0.85122,0.8510764,0.8470119
Hamilton,230.0,4.0,145.0,172.0,69.0,0.9368422,0.9199983,0.9120739,0.9026043,0.89642423
Amadeus,44.0,68.0,4.0,230.0,196.0,0.89929736,0.89642423,0.89585656,0.89433134,0.890797
WALL·E,28.0,63.0,193.0,140.0,34.0,0.86178815,0.8583915,0.8566073,0.8551427,0.84625936
3 Idiots,82.0,34.0,51.0,52.0,72.0,0.8187293,0.81749254,0.8144877,0.8137164,0.81214666
The Lives of Others,142.0,123.0,188.0,166.0,62.0,0.8957354,0.8925367,0.88464594,0.8799603,0.8729526
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,93.0,193.0,77.0,82.0,161.0,0.8127965,0.80010295,0.7992038,0.79802406,0.7933197
Capernaum,51.0,219.0,43.0,149.0,156.0,0.81795305,0.812704,0.80977637,0.80761606,0.806621
Das Boot,225.0,219.0,43.0,93.0,110.0,0.85302997,0.84618527,0.8409134,0.83498955,0.82880783
Sunset Blvd.,112.0,12.0,8.0,209.0,34.0,0.85308665,0.8404446,0.8404446,0.8336962,0.8315556
Paths of Glory,93.0,210.0,166.0,156.0,79.0,0.8954186,0.8633971,0.8608324,0.8605823,0.8572448
Witness for the Prosecution,79.0,154.0,198.0,166.0,42.0,0.881778,0.8772747,0.8772054,0.871037,0.8675558
High and Low,154.0,166.0,158.0,198.0,29.0,1.0031878,0.9008151,0.8942994,0.89192367,0.89092135
