Unnamed: 0,title,year,certificate,time,genre,rating,metascore,simple_desc,votes,directors,actors
0,"1.
The Shawshank Redemption
(1994)",(1994),R,142 min,Drama,9.3,"82        
        Metascore","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Votes:
2,717,378
| Gross:
$28.34M
| Top 250:
#1",Frank Darabont,"['Tim Robbins', 'Morgan Freeman']"
1,"2.
The Godfather
(1972)",(1972),R,175 min,"Crime, Drama",9.2,"100        
        Metascore",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Votes:
1,888,044
| Gross:
$134.97M
| Top 250:
#2",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino']"
2,"3.
The Dark Knight
(2008)",(2008),PG-13,152 min,"Action, Crime, Drama",9.0,"84        
        Metascore","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,690,032
| Gross:
$534.86M
| Top 250:
#3",Christopher Nolan,"['Christian Bale', 'Heath Ledger']"
3,"4.
The Lord of the Rings: The Return of the King
(2003)",(2003),PG-13,201 min,"Action, Adventure, Drama",9.0,"94        
        Metascore",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Votes:
1,869,783
| Gross:
$377.85M
| Top 250:
#7",Peter Jackson,"['Elijah Wood', 'Viggo Mortensen']"
4,"5.
Schindler's List
(1993)",(1993),R,195 min,"Biography, Drama, History",9.0,"95        
        Metascore","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Votes:
1,372,620
| Gross:
$96.90M
| Top 250:
#6",Oskar Schindler,"['Steven Spielberg', 'Liam Neeson']"
5,"6.
The Godfather Part II
(1974)",(1974),R,202 min,"Crime, Drama",9.0,"90        
        Metascore","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Votes:
1,288,378
| Gross:
$57.30M
| Top 250:
#4",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro']"
6,"7.
12 Angry Men
(1957)",(1957),Approved,96 min,"Crime, Drama",9.0,"97        
        Metascore",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Votes:
803,015
| Gross:
$4.36M
| Top 250:
#5",Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb']"
7,"8.
Pulp Fiction
(1994)",(1994),R,154 min,"Crime, Drama",8.9,"95        
        Metascore","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Votes:
2,086,661
| Gross:
$107.93M
| Top 250:
#8",Quentin Tarantino,"['John Travolta', 'Uma Thurman']"
8,"9.
The Lord of the Rings: The Fellowship of the Ring
(2001)",(2001),PG-13,178 min,"Action, Adventure, Drama",8.8,"92        
        Metascore",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Votes:
1,899,124
| Gross:
$315.54M
| Top 250:
#9",Peter Jackson,"['Elijah Wood', 'Ian McKellen']"
9,"10.
Fight Club
(1999)",(1999),R,139 min,Drama,8.8,"66        
        Metascore",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Votes:
2,160,886
| Gross:
$37.03M
| Top 250:
#12",David Fincher,"['Brad Pitt', 'Edward Norton']"
10,"11.
Inception
(2010)",(2010),PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"74        
        Metascore","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Votes:
2,387,379
| Gross:
$292.58M
| Top 250:
#14",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt']"
11,"12.
Forrest Gump
(1994)",(1994),PG-13,142 min,"Drama, Romance",8.8,"82        
        Metascore","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Votes:
2,112,298
| Gross:
$330.25M
| Top 250:
#11",Robert Zemeckis,"['Tom Hanks', 'Robin Wright']"
12,"13.
The Lord of the Rings: The Two Towers
(2002)",(2002),PG-13,179 min,"Action, Adventure, Drama",8.8,"87        
        Metascore","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Votes:
1,688,084
| Gross:
$342.55M
| Top 250:
#13",Peter Jackson,"['Elijah Wood', 'Ian McKellen']"
13,"14.
The Good, the Bad and the Ugly
(1966)",(1966),Approved,178 min,"Adventure, Western",8.8,"90        
        Metascore",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Votes:
770,767
| Gross:
$6.10M
| Top 250:
#10",Sergio Leone,"['Clint Eastwood', 'Eli Wallach']"
14,"16.
Goodfellas
(1990)",(1990),R,145 min,"Biography, Crime, Drama",8.7,"91        
        Metascore","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Votes:
1,178,728
| Gross:
$46.84M
| Top 250:
#17",Henry Hill,"['Martin Scorsese', 'Robert De Niro']"
15,"17.
The Matrix
(1999)",(1999),R,136 min,"Action, Sci-Fi",8.7,"73        
        Metascore","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Votes:
1,937,986
| Gross:
$171.48M
| Top 250:
#16",Lana Wachowski,"['Lilly Wachowski', 'Keanu Reeves']"
16,"18.
One Flew Over the Cuckoo's Nest
(1975)",(1975),R,133 min,Drama,8.7,"84        
        Metascore","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","Votes:
1,019,561
| Gross:
$112.00M
| Top 250:
#18",Milos Forman,"['Jack Nicholson', 'Louise Fletcher']"
17,"19.
Star Wars: Episode V - The Empire Strikes Back
(1980)",(1980),PG,124 min,"Action, Adventure, Fantasy",8.7,"82        
        Metascore","After the Rebels are overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Votes:
1,308,382
| Gross:
$290.48M
| Top 250:
#15",Irvin Kershner,"['Mark Hamill', 'Harrison Ford']"
